Enzyme_Load,Bili_AST_Interaction,Bilirubin_Protein,Alamine_Aminotransferase_log,ALT_Albumin_Ratio,Total_Bilirubin_log,Direct_Bilirubin,Direct_Bilirubin_log,Total_Bilirubin,Bilirubin_Ratio,Aspartate_Aminotransferase_log,Aspartate_Aminotransferase,Alamine_Aminotransferase,Albumin_Protein_Ratio
-0.13810604893078762,-0.040804333147191674,-0.019909099064673478,-0.022075268972977086,-0.01808992783309528,-0.031154053323345907,-0.07087738987671122,-0.07087738987671122,-0.037241433558763734,0.021377788446475598,-0.02053322940041035,-0.02053322940041035,-0.04553249391079583,-0.07052245225341805
-0.12479006206442639,-0.04004455085205127,-0.025824942627701252,0.012648891134451192,-0.01706832165166999,-0.02518568345136712,-0.05273793012778068,-0.05273793012778068,-0.02518568345136712,0.03743497426428945,-0.0003094549689811543,-0.01853846574303223,-0.03471775238921705,0.0025384815044011944
-0.12145732414424237,0.008290910171016339,0.06351355984589982,3.54280156359297e-06,-0.03411083930756441,0.08763834069676335,0.13005178612000742,0.13005178612000742,0.08763834069676335,0.01836747891063452,-0.0003143640366530657,0.001662044334572953,-0.03855709420543062,0.050395084528454426
-0.11906485710600287,-0.027252251729317844,-0.028548553700817256,-0.04111150424909263,-0.024933708472610016,-0.029124245136971445,-0.05647088809156843,-0.03545259767574196,-0.029124245136971445,0.04331471499614959,0.003115451172308135,0.003115451172308135,-0.04111150424909263,-0.08649001944793165
-0.1463589346444688,-0.05983951860450315,0.006606177333360806,-0.034907203170888725,-0.018914860201949532,-0.0507816278479601,-0.048126814131917044,-0.048126814131917044,-0.0507816278479601,-0.0026212963482603103,-0.034831355500723554,-0.034831355500723554,-0.034907203170888725,-0.010807753218212876
0.07513605741925539,0.0009527110260284547,-0.013362375851141894,0.04009767157038488,0.03944367828530428,-0.012581933281033925,-0.04673333069491632,-0.04673333069491632,-0.02630928548796403,-0.012496489906331662,-0.005479483584282027,-0.015774282211485684,0.06373921704117544,0.04029293086446016
0.05493493579498608,0.030884396649219856,0.04753162919410739,0.054504755073909936,0.038556102686437874,0.06489701677415557,0.12083596182288561,0.09100702779110582,0.07916502983139018,-0.011935535637861022,-0.00149690617871088,-0.01569352337960752,0.054504755073909936,0.05693494503089007
0.17527386628043315,0.027365185698137888,0.0649550826571022,0.03200064312615232,-0.0037001475756144905,0.08288235764479558,0.11231186069605531,0.11231186069605531,0.08288235764479558,-0.010191032463259154,0.028272808829343608,0.028272808829343608,0.038317526391823,-0.0753830329289249
0.1802000884826486,0.037073201060350704,0.059436049169381035,0.03493186737792281,0.06052883536379301,0.08417268882370645,0.09619967881948367,0.09619967881948367,0.08417268882370645,-0.0020393708516322977,0.0172324787197719,0.01816242393344703,0.03493186737792281,0.06195702300395511
-0.11003657657014529,0.03278765107231262,0.06477392623368819,0.0075524066898833425,0.037597061317036155,0.07990570207158418,0.0977209674240359,0.0977209674240359,0.07990570207158418,-0.009184251437380176,-0.013854620364144516,-0.013854620364144516,0.01596736792348003,0.061462771368967536
0.15027110171308866,0.03977369184396069,0.056577839676835766,0.03273798770955279,0.04888838074398044,0.07050507552600656,0.10514866686195179,0.10514866686195179,0.08029269085229085,-0.008762971565843597,-0.0003461118896274908,0.0009361683533084208,0.0524816432073858,-0.020045779875097317
0.09598767680813834,-0.035300203766453105,-0.006128189320665503,0.009100376687967522,-0.023952078095904734,-0.017732397786239147,-0.0689064463034386,-0.0689064463034386,-0.06086399619339114,0.05328337165179096,-0.0034965722796045334,-0.0034965722796045334,0.04356024944016009,0.04481278244375364
0.07437650434105396,0.040745743891964746,0.06787622690985344,-0.011779521398695498,-6.529974810146597e-05,0.07416478692634856,0.09380372408455584,0.09380372408455584,0.08149889570322505,-0.0008452926855886777,-0.0035627812163257825,0.005124350203822015,-0.01738616093454845,0.04855569613412577
0.185687207839568,0.04617256361540625,-0.0377003108554563,0.043676985637673374,0.0623732512619799,-0.04236192761990805,-0.056575080495674314,-0.056575080495674314,-0.04236192761990805,0.032356900326986376,-0.004609161492676336,-0.03502917714451877,0.05087921261891597,0.05738807777165926
0.17538221835147885,-0.04647316983508613,-0.03171667461297002,-0.02324890966213033,-0.03276883314221061,-0.04194165159687557,-0.044705527873952995,-0.037750819663341366,-0.04194165159687557,-0.030440400858911414,-0.0001560295126804724,0.000712730245983226,-0.03704606448956364,0.05947629663241943
0.08661035055616095,0.027266745971419037,0.003419371062161514,-0.03569169662207334,-0.04871554857358404,-0.030399814975813545,-0.052127071688934774,-0.052127071688934774,-0.030399814975813545,-0.00352762068227304,-0.017252401700803683,-0.017252401700803683,-0.039700814022647024,0.05634044046520329
-0.13536856833764518,-0.04563635302401213,-0.06393192147187626,-0.016356855105266264,-0.008603915527749634,-0.017737329311390125,-0.04689319561140415,-0.0348545980285289,-0.03632528945750491,0.008113746481045542,0.006011051017839241,-0.009286253668017528,-0.021390082983224024,-0.07955000823673584
0.1554292291247801,0.038149568215547554,0.06046504442802307,0.042876531333118695,0.0505788421620928,0.07810043627146283,0.1232617795341463,0.1232617795341463,0.07810043627146283,-0.01071910377778589,0.014327538915792052,0.014327538915792052,0.04833286348395419,0.00028612168510680274
0.170757385474901,0.03851591525642217,0.05702066294067775,0.01965761936605101,0.007293317804947304,0.001721792044673887,-0.03428460984579441,-0.03428460984579441,0.012126697051932542,-0.02921564568894869,0.012710259506603443,0.034685142613657245,0.04499308715684751,0.04248874491862457
-0.11114625751510021,-0.047736112321058816,-0.04375185188543153,-0.02205914717498681,-0.005349824398936364,-0.05602836025617315,-0.04896487654897839,-0.04896487654897839,-0.05602836025617315,0.04075722265489837,-0.02527480645180975,-0.02527480645180975,-0.037161924275740256,0.03884302059368056
-0.13296662259904996,-0.004950595807732002,-0.03278426975991704,-0.004162261093353327,-0.041901485555066204,-0.002314417564683167,-0.061989929750263455,-0.061989929750263455,-0.02872886169957529,0.01776373667330662,0.0002691392126205753,-0.02114273563472948,-0.04435861096928864,0.0674346796411577
0.16727457020342465,0.03289993598310669,0.05265670442692709,0.02907019201392527,0.03246720500363876,0.07301315939079492,0.10286390012657727,0.10286390012657727,0.0761274551833912,-0.0011349234106714278,0.021199762833526627,0.021199762833526627,0.04256490048070387,0.03377304744775489
-0.13204897896224954,-0.00769955473131373,-0.04429760030490683,-0.023506047460177773,-0.012625753229553649,-0.04875795061548322,-0.06678088342729989,-0.054809347622734754,-0.04875795061548322,0.008965762772668728,-0.008795317265003981,0.015582386989157662,-0.030885682265932395,0.02322447543149626
0.18343619036368164,-0.01698756997585642,-0.059428815795403926,0.02193786698530888,0.06641685955952702,-0.035365006272472764,-0.048690579752202805,-0.04131327186635469,-0.035365006272472764,0.023786413893402122,-0.014579237005411201,0.014680191553156913,0.07456464900060239,0.033795869176803536
-0.10260320029098835,-0.0340473280630232,-0.060072080672363984,-0.028844970893911318,-0.0383569011506264,-0.02572822979141867,-0.03834802743351718,-0.03834802743351718,-0.02572822979141867,0.04014729527804036,-0.018417287693175625,-0.018417287693175625,-0.028844970893911318,0.04092709764416213
-0.14609583572365267,-0.03387655482150367,-0.06933037846545519,-0.04031693786804687,-0.031725218330789194,-0.038617170789389574,-0.05914776709615744,-0.050517861276192344,-0.056206337838312595,0.01713950543244894,-0.010295968844329347,-0.010295968844329347,-0.04031693786804687,-0.015453335175509703
-0.12085996273110365,-0.017519826882350993,-0.06034491717421304,-0.005609767712662373,-0.034941470383304925,-0.035505564582643485,-0.038947395202010675,-0.038947395202010675,-0.03835802965657956,0.03219572305415558,-0.007091830419323757,-0.007091830419323757,-0.049039493095681376,-0.029585001805729094
0.16351653529090687,0.04422517217206363,0.056541199220545714,0.041154793944488385,0.047364939996871705,0.08972299872461004,0.09317325363407875,0.09317325363407875,0.08972299872461004,-0.022327390280611734,0.022418326851903335,0.022418326851903335,0.04915792503185718,0.04738613046397465
0.06349268903493535,-0.04144323056649049,-0.0037386384671852114,0.06493686354339968,0.0032115144346859252,-0.03398181262663828,-0.045932060760009295,-0.02851956185162015,-0.047657425001875274,0.0364643180980682,-0.005271717872287465,-0.005271717872287465,0.06493686354339968,0.0792869105810988
0.1638314009086175,0.05673582127659338,0.07778168307258944,-0.026485201264778463,-0.01963653070865242,0.07771373630028906,0.10465562187616856,0.10139987014929143,0.07771373630028906,0.00350439559829348,-0.022953428319749898,-0.022953428319749898,-0.0325316143823059,0.04708355179712899
0.08210916368928665,0.04048820019318702,0.06395148244877054,9.293602939806527e-05,0.03380227569862492,0.07278443713939318,0.10927788743894794,0.09306921941497857,0.07278443713939318,0.01489848929080583,-0.018088810960200645,-0.018088810960200645,-0.004813078251475856,0.0502397109858648
0.07598200340751703,0.0440840915647939,-0.013790522902632428,-0.04560184072296183,0.03893569792097579,0.0875662664750213,0.12385802588944733,0.12385802588944733,0.10768002481811144,-0.013435665664410939,0.005172347589096627,-0.010118135399204607,-0.04560184072296183,0.035502550834704855
0.08438675753066324,0.046200864369611384,0.06309056266667264,0.02588849074876903,0.06865917671623374,0.07601278328441806,0.10498544496740837,0.10498544496740837,0.08054888069953685,-0.026944571558138748,-0.01014152574380261,-0.01014152574380261,0.027077338297964083,-0.025235643593154347
-0.13781659121031145,-0.018295127470668658,-0.03727834001317053,0.0015446730086496796,0.0004611798101173058,-0.0243992790336828,-0.06225115351037374,-0.06225115351037374,-0.04741214872238517,0.05624641470572364,0.013725183306441036,0.021135649190072027,-0.007359075382589166,-0.08314712350512254
0.09567434346426655,0.021390378900307705,0.06240830350389632,-0.03168068144489825,0.011516228359865136,0.07754384410094574,0.11760697103459303,0.11760697103459303,0.07754384410094574,0.0005532376844585966,-0.01520968151088349,-0.01520968151088349,-0.05274404505108065,0.03729317784979473
0.16488802567929067,0.038690000155031094,0.0644591555083515,0.04387356113745782,0.06361549668376569,0.08547593836402517,0.10992922901466996,0.10992922901466996,0.0879428674304375,-0.012407055784825498,0.011924526605801568,0.011924526605801568,0.04387356113745782,0.046061881445715075
-0.1019616157992885,0.018092874092025507,0.061954338437162804,-0.03167597810445049,-0.01706507244436402,0.0763509490636843,0.10825258867787425,0.10825258867787425,0.0763509490636843,0.014311336026334349,-0.019340319270169062,0.022871905251689636,-0.047359117908120626,-0.03566454250679637
-0.12628657325438333,0.034297952868937956,0.06563447657467077,0.039673049138791036,0.03533518134352474,0.07698064568239457,0.11599165521718363,0.11599165521718363,0.08582324879776494,-0.0008359028910648378,0.0029966656783852862,0.0029966656783852862,0.039673049138791036,0.03580228417397772
-0.09798680229625524,-0.04412931623436843,-0.01159485802493615,-0.018908230465099922,-0.017452066782233402,-0.0489796397333524,-0.04048498661141388,-0.0386955027729525,-0.0489796397333524,0.02348486403151913,0.007405835931971652,0.035787288576973025,-0.04788686295871212,-0.009018823701598075
-0.09701216250670658,-0.013565575218780114,-0.026075399814121502,-0.006126178408890991,0.0004880310210021204,-0.008625285007863899,-0.04343589408268647,-0.04343589408268647,-0.05031077079723284,-0.007749816229731481,0.0006756433456831801,0.010918065527502204,0.010617713440076917,0.06038999691010412
-0.12098564403587576,-0.03182524065378625,-0.029852180967496988,-0.03292992917615365,-0.013627267277514525,-0.028387910064957073,-0.05251588714371917,-0.05251588714371917,-0.06595495726333431,0.0380213132696439,-0.002312986710533497,0.03701567732106501,-0.0535746917048964,0.03571800524218615
0.09137809733015972,-0.04064363198993301,-0.033239471935046935,-0.018886831528741668,-0.011956319261933657,-0.052760038900361114,-0.04828025443527921,-0.045882436656136553,-0.052760038900361114,0.02536248251462446,-0.011651872776229989,-0.011651872776229989,-0.018886831528741668,0.0027931539170929255
0.08773569935019834,-0.047491073185745455,-0.023745088172076517,-0.037213187585371926,-0.026526735264266854,-0.02835684639801952,-0.04583703913579072,-0.042335830364754926,-0.02835684639801952,-0.030788269629667044,-0.01326297590404409,-0.01326297590404409,-0.037213187585371926,0.07063052197787904
0.17459152876738915,0.04877474709156062,0.06480326724529226,0.015248648986217462,0.0445961812715697,0.07545443518553749,0.10725541486447787,0.10725541486447787,0.07601366967396979,-0.009965830646876627,0.00648597614835119,0.00648597614835119,0.023805793306847515,0.03167858452581204
-0.12475562673043827,-0.033808837930015906,-0.009283437999048797,-0.008508294839091494,-0.026940233236210944,-0.04082635817850746,-0.053849677003600965,-0.050746335127964615,-0.04885668591714313,0.03815221075793215,-0.010892445715836918,-0.010892445715836918,-0.04916804385878015,0.02148038158734863
0.06932806965519712,-0.015414374016553354,0.021239090577265148,0.023228531666180156,-0.02614423238347772,-0.03205309781056507,-0.06568609247451204,-0.06568609247451204,-0.04091891294230352,0.035097917221535595,0.010778500303992205,0.010778500303992205,0.03250158976834356,0.04114040845245734
-0.12759148453720384,0.03699716135638228,0.0517667586001572,0.029996129443735815,0.002469344207810904,0.09461673562810935,0.1268413633022583,0.1268413633022583,0.09461673562810935,-0.0035703819074748315,-0.006346737788122112,-0.006346737788122112,0.029996129443735815,-0.015019182339414813
0.18091476108809332,0.03478642305256332,0.07184582265008875,-0.01079769375375643,0.0014816327135068349,0.0669946402774131,0.1059400475988696,0.1059400475988696,0.08820368457705655,-0.006465844336064427,-0.013993200647073413,-0.013993200647073413,0.015442121647248253,0.026623423740148828
0.08650568242003319,0.04429668168665438,0.05740343500327886,0.049813590832032774,0.04337261760785876,0.09188832353756828,0.09179136518990515,0.08564205203162872,0.09188832353756828,0.0005249593908163261,-0.0038183969789175173,-0.006662391424517109,0.049813590832032774,0.05635606679941093
0.17902721757574497,0.0551735184322953,-0.002307392113936124,0.020309164003204722,0.038974422246330964,-0.0044061124457696055,-0.03298929624474888,-0.03298929624474888,-0.020611104809171717,-0.013328652806719698,0.01858327019039984,0.01858327019039984,0.04516915191285655,-0.020578400983178344
0.17506405674907513,0.04340861518683159,0.06026110456169647,0.030312405090599372,0.045494864316146244,0.06993921977310029,0.10648666522994304,0.10257820456880398,0.07029156716121031,-0.01780842195961536,0.027474533082395218,0.027474533082395218,0.04703190953238968,-0.02585000451489381
0.1781508189323907,0.0429990197483422,0.0434779431695639,-8.700357387015644e-05,0.04548519811600226,0.0851857262816056,0.10743309435867249,0.0834414757465979,0.0851857262816056,-0.0030343078740705702,-0.021361297617078355,-0.021361297617078355,0.02617367210601435,0.034251167133962805
-0.12425414528218119,-0.030606395920717587,-0.046860833511352756,-0.004698412339895482,-0.03370453363606479,-0.04766924694751574,-0.05604664579540905,-0.04529826590878366,-0.04766924694751574,-0.018571568689505578,0.018953101882610308,0.018953101882610308,-0.027346553971684683,-0.07432306352864478
0.17607730731330312,0.040025665055536556,0.05468295155614596,0.04114510599703203,0.061801748545422204,0.07011824362631071,0.10678188425651934,0.10678188425651934,0.07011824362631071,-0.016125387536280858,0.017210523194222133,0.017210523194222133,0.05690121768067927,0.029075786918631916
0.16282411109714928,0.04206205555058553,0.04788966261886769,0.03338717785209676,0.059765556206279206,0.06545520640776967,0.10234430147590144,0.08928702095874588,0.06859820831214958,-0.010498153002402984,0.00040430290009785003,0.004317287718098474,0.04445782299654396,-0.009997665330522647
-0.11740681772167999,-0.04788310003976585,-0.021479976952319593,-0.034791753253548836,-0.026981107352075474,0.008477385058771403,-0.028124992345295682,-0.0008382137244216368,-0.03443171318502329,0.00475662677355363,0.013666803271886793,0.013666803271886793,-0.034791753253548836,-0.0821307789466509
